날짜,단어,뜻
Day56,voucher,"n. (현금 대용의) 교환권, 상품권"
Day56,feature,"v. (특별히) 포함하다, 특징으로 하다 n. 특징, 특색"
Day56,upcoming,"a. 다가오는, 앞으로의"
Day56,migrant,"n. 이주민, 철새 a. 이주성의"
Day56,autonomous,"a. 자율적인, 독립적인"
Day56,cram,v. 벼락치기 공부를 하다
Day56,compartment,"n. 칸, 구역, 객실"
Day56,matter,"v. 중요하다 n. 일, 문제"
Day56,accompany,"v. 동행하다, 동반하다"
Day56,overdue,a. 연체된
Day56,fabric,"n. 천, 직물"
Day56,resident,"n. 주민, 거주자"
Day57,insurance,n. 보험
Day57,spirit,"n. 의도, 정신, 기분"
Day57,overseas,a. 해외의
Day57,adorable,a. (아주) 사랑스러운
Day57,scenery,"n. 풍경, 경관"
Day57,earmuff,n. (보온용) 귀마개
Day57,notice,"n. 공지, 공고 v. 알아차리다"
Day57,preview,"n. 시사회 v. 미리 소개하다, 사전 검토[조사]하다"
Day57,recruitment,n. 신입 회원[구성원] 모집
Day57,autograph,"n. (유명인의) 사인, 서명"
Day57,pharmacy,"n. 약국, 약학"
Day57,shame,"n. 아쉬운 일, 애석한 일, 수치심"
Day57,numerous,a. 수많은
Day57,primary,"a. 기본의, 주요한"
Day57,bin,"n. 수거함, 쓰레기통"
Day57,gather,"v. 모으다, 모이다"
Day57,boost,"v. 높이다, 향상하다 n. 고양, (신장시키는) 힘"
Day57,sibling,"n. 남매, 형제자매"
Day57,certificate,"n. 수료증, 증서, 증명서"
Day57,proceed,v. 진행되다 n. 수익금
Day57,convey,v. 전달하다
Day57,subscribe,v. 구독하다
Day57,impact,"n. 영향, 충돌"
Day57,mandatory,a. 필수적인
Day57,rectangular,a. 직사각형의
Day57,pottery,n. 도자기
Day57,viewpoint,"n. 관점, 방향"
Day57,reunion,"n. 동창회, 재회"
Day57,crane,n. 기중기
Day57,identity,"n. 신원, 정체성"
Day58,vibe,"n. 분위기, 느낌"
Day58,attendee,n. 참석자
Day58,cocoon,"n. (곤충의) 고치, 보호막"
Day58,deserve,"v. 누릴 자격이 있다, 받을 만하다"
Day58,stock,n. 재고 v. (상품 등을) 갖추다
Day58,therapy,"n. 치료, 요법"
Day58,release,"v. 출시하다, 발표하다, 풀어 주다 n. 발표(물), 발간(물), 석방"
Day58,vent,"n. (공기 등의) 출구, 배출구, 통풍구"
Day58,bond,n. 유대(감)
Day58,vague,"a. 모호한, 애매한"
Day58,feed,v. 먹이를 주다 n. 피드(제공되는 정보)
Day58,strap,"n. 끈, 줄 v. 매다, 끈으로 묶다"
Day58,journal,"n. 일기, 학술지, 신문"
Day58,overshadow,v. 가리다
Day58,strain,"n. 긴장, 피로"
Day58,category,"n. 부문, 범주"
Day58,refrigerate,"v. 냉장 보관하다, 냉장하다"
Day58,contract,"n. 계약 v. 수축하다, 수축시키다"
Day58,capacity,"n. 용량, 능력, 수용력"
Day58,itinerary,n. 여행 일정(표)
Day58,prehistoric,a. 선사 시대의
Day58,showcase,"v. (좋은 점을) 뽐내다, 보여 주다"
Day58,guarantee,v. 보장하다 n. 보장
Day58,vein,n. 정맥
Day58,award,v. 수여하다 n. 상
Day58,tie,n. (강한) 유대 관계 v. 묶다
Day58,iris,n. 홍채
Day58,portion,"n. 부분, 1인분 (양)"
Day58,fitness,"n. 체력, 신체 단련"
Day58,earbud,"n. 이어폰, 이어버드(귀 안에 넣는 이어폰)"
Day59,plot,"n. 작은 땅, (소설·극·영화 등의) 플롯, 줄거리"
Day59,previous,"a. 전의, 이전의"
Day59,deposit,"v. 입금하다, 예금하다 n. 보증금, 착수금"
Day59,device,"n. 기기, 장치"
Day59,itchy,a. 가려운
Day59,stuck,a. 갇힌
Day59,deadline,"n. 마감일, 기한"
Day59,pollutant,n. 오염 물질
Day59,spiral,a. 나선형의 n. 소용돌이
Day59,stem,"n. 줄기 v. 비롯되다, 유래하다"
Day59,suspect,"v. ~이 아닌가 하고 생각하다, 의심하다 a. 의심스러운 n. 용의자"
Day59,entry,"n. (행사·대회 등의) 참가(작), 응시자 수"
Day59,giveaway,"n. 사은품, 경품"
Day59,grocery,n. 식료품
Day59,permission,n. 허가
Day59,consequence,"n. 결과, 중요함"
Day59,bias,"n. 편향, 편견"
Day59,steady,"a. 일정한, 한결같은, 꾸준한"
Day59,aspect,"n. 요소, 측면"
Day59,linguistics,n. 언어학
Day59,detective,"n. 형사, 탐정"
Day59,breathable,a. 통기성이 좋은
Day59,appealing,"a. 매력적인, 마음이 끌리는"
Day59,absence,"n. 결석, 부재"
Day59,broadcasting,n. 방송(업)
Day59,eligible,"a. 자격이 있는, 적합한"
Day59,run,"v. 운영되다, 진행되다, 운영하다, 달리다"
Day59,spill,"n. 유출 v. 쏟다, 흐르다"
Day59,heritage,"n. 유산, 유적"
Day59,authentic,"a. 정통의, 진정한, 진짜의"
Day60,raw,"a. 익히지 않은, 미숙한"
Day60,dehumidifier,n. 제습기
Day60,supportive,"a. 힘을 주는, 도움을 주는, 지원하는"
Day60,intense,"a. 강렬한, 격렬한"
Day60,colleague,n. 동료
Day60,range,"n. 범위, 거리, 영역 v. 범위가 ~이다"
Day60,alert,"a. 정신이 초롱초롱한, 민감하게 반응하는"
Day60,thread,"n. 실, 실타래"
Day60,refreshing,"a. 원기를 북돋우는, 상쾌하게 하는, 신선한"
Day60,disguise,"v. 위장하다, 변장하다 n. 변장, 위장"
Day60,bait,n. 미끼
Day60,inspection,"n. 점검, 검사, 살펴봄"
Day60,waterproof,"a. 방수가 되는, 방수의"
Day60,principal,n. 교장 a. 주요한
Day60,dye,n. 염료 v. 염색하다
Day60,expire,"v. (유통 기간이) 끝나다, 만료되다"
Day60,enlarge,"v. 확대하다, 확장하다"
Day60,valuable,"n. (주로 복수로) 귀중품 a. 가치 있는, 귀중한"
Day60,bare,v. 드러내다 a. 벌거벗은
Day60,handful,"n. 줌, 소수"
Day60,resolution,"n. 해상도, 해결, 결의"
Day60,melt,v. 녹다
Day60,storage,"n. 저장 공간, 저장 시설, 저장"
Day60,mural,n. 벽화
Day60,creature,"n. 생물, 동물"
Day60,attachment,"n. 부속품, 애착"
Day60,signature,"a. 대표의 n. 표시, 서명"
Day60,illustration,"n. 삽화, 예시"
Day60,courtesy,"n. 예의, 공손함"
Day60,peel,v. (껍질을) 벗기다 n. 껍질
